[20210830,3159]
[20210827,2990]
[20210826,3093]
[20210825,3093]
[20210824,3044]
[20210823,2976]
[20210820,3035]
[20210819,3137]
[20210818,3132]
[20210817,3162]
[20210816,3259]
[20210813,3296]
[20210812,3264]
[20210811,3232]
[20210810,3180]
[20210809,3308]
[20210806,3301]
[20210805,3289]
[20210804,3268]
[20210803,3353]
[20210802,3338]
[20210730,3355]
[20210729,3326]
[20210728,3240]
[20210727,3182]
[20210726,3219]
[20210723,3255]
[20210722,3211]
[20210721,3166]
[20210720,3226]
[20210719,3287]
[20210716,3263]
[20210715,3420]
[20210714,3504]
[20210713,3501]
[20210712,3510]
[20210709,3447]
[20210708,3494]
[20210707,3619]
[20210706,3632]
[20210705,3568]
[20210702,3582]
[20210701,3598]
[20210630,3580]
[20210629,3591]
[20210628,3634]
[20210625,3445]
[20210624,3509]
[20210623,3383]
[20210622,3281]
[20210621,3328]
[20210618,3372]
[20210617,3438]
[20210616,3399]
[20210615,3340]
[20210611,3162]
[20210610,3255]
[20210609,3229]
[20210608,3290]
[20210607,3365]
[20210604,3383]
[20210603,3366]
[20210602,3364]
[20210601,3220]
[20210531,3230]
[20210528,3151]
[20210527,3283]
[20210526,3326]
[20210525,3257]
[20210524,3250]
[20210521,3303]
[20210520,3364]
[20210519,3446]
[20210518,3548]
[20210517,3400]
[20210514,3219]
[20210513,3341]
[20210512,3190]
[20210511,3242]
[20210510,3251]
[20210507,3241]
[20210506,3197]
[20210430,3183]
[20210429,3119]
[20210428,3098]
[20210427,2977]
[20210426,3037]
[20210423,3027]
[20210422,3071]
[20210421,3133]
[20210420,3144]
[20210419,3175]
[20210416,3115]
[20210415,3074]
[20210414,2953]
[20210413,2911]
[20210412,2955]
[20210409,2946]
[20210408,2999]
[20210407,3031]
[20210406,3053]
[20210402,3016]
[20210401,2961]
[20210331,3007]
[20210330,3020]
[20210329,2996]
[20210326,2909]
[20210325,2991]
[20210324,2931]
[20210323,3015]
[20210322,2953]
[20210319,3164]
[20210318,3189]
[20210317,3185]
[20210316,3252]
[20210315,3286]
[20210312,3310]
[20210311,3266]
[20210310,3363]
[20210309,3468]
[20210308,3426]
[20210305,3219]
