[20210830,2815]
[20210827,2792]
[20210826,2868]
[20210825,2839]
[20210824,2941]
[20210823,2850]
[20210820,2814]
[20210819,2858]
[20210818,2864]
[20210817,2859]
[20210816,2860]
[20210813,2865]
[20210812,2840]
[20210811,2802]
[20210810,2754]
[20210809,2794]
[20210806,2768]
[20210805,2782]
[20210804,2790]
[20210803,2842]
[20210802,2946]
[20210730,2859]
[20210729,2823]
[20210728,2823]
[20210727,2853]
[20210726,2857]
[20210723,2893]
[20210722,2859]
[20210721,2877]
[20210720,2913]
[20210719,2867]
[20210716,2798]
[20210715,2839]
[20210714,2795]
[20210713,2789]
[20210712,2740]
[20210709,2692]
[20210708,2708]
[20210707,2783]
[20210706,2759]
[20210705,2731]
[20210702,2704]
[20210701,2710]
[20210630,2673]
[20210629,2682]
[20210628,2730]
[20210625,2700]
[20210624,2701]
[20210623,2657]
[20210622,2578]
[20210621,2588]
[20210618,2630]
[20210617,2647]
[20210616,2649]
[20210615,2593]
[20210611,2586]
[20210610,2592]
[20210609,2577]
[20210608,2575]
[20210607,2631]
[20210604,2670]
[20210603,2638]
[20210602,2696]
[20210601,2684]
[20210531,2694]
[20210528,2698]
[20210527,2821]
[20210526,2736]
[20210525,2712]
[20210524,2650]
[20210521,2689]
[20210520,2831]
[20210519,2834]
[20210518,2817]
[20210517,2890]
[20210514,2932]
[20210513,2868]
[20210512,2678]
[20210511,2709]
[20210510,2718]
[20210507,2675]
[20210506,2555]
[20210430,2592]
[20210429,2577]
[20210428,2601]
[20210427,2573]
[20210426,2499]
[20210423,2549]
[20210422,2533]
[20210421,2580]
[20210420,2615]
[20210419,2610]
[20210416,2551]
[20210415,2476]
[20210414,2459]
[20210413,2430]
[20210412,2544]
[20210409,2546]
[20210408,2548]
[20210407,2546]
[20210406,2542]
[20210402,2446]
[20210401,2471]
[20210331,2493]
[20210330,2469]
[20210329,2454]
[20210326,2413]
[20210325,2444]
[20210324,2414]
[20210323,2419]
[20210322,2395]
[20210319,2459]
[20210318,2508]
[20210317,2528]
[20210316,2520]
[20210315,2567]
[20210312,2542]
[20210311,2571]
[20210310,2707]
[20210309,2678]
[20210308,2688]
[20210305,2592]
[20210304,2626]
[20210303,2624]
[20210302,2607]
