[20210830,5137]
[20210827,5085]
[20210826,5096]
[20210825,5092]
[20210824,5015]
[20210823,5035]
[20210820,5030]
[20210819,5125]
[20210818,5135]
[20210817,5106]
[20210816,5095]
[20210813,5081]
[20210812,5060]
[20210811,5081]
[20210810,5095]
[20210809,5305]
[20210806,5350]
[20210805,5409]
[20210804,5344]
[20210803,5382]
[20210802,5399]
[20210730,5359]
[20210729,5323]
[20210728,5301]
[20210727,5326]
[20210726,5340]
[20210723,5321]
[20210722,5300]
[20210721,5254]
[20210720,5305]
[20210719,5484]
[20210716,5515]
[20210715,5441]
[20210714,5498]
[20210713,5446]
[20210712,5429]
[20210709,5414]
[20210708,5507]
[20210707,5561]
[20210706,5538]
[20210705,5442]
[20210702,5471]
[20210701,5415]
[20210630,5419]
[20210629,5455]
[20210628,5459]
[20210625,5416]
[20210624,5455]
[20210623,5421]
[20210622,5414]
[20210621,5413]
[20210618,5554]
[20210617,5705]
[20210616,5704]
[20210615,5819]
[20210611,5722]
[20210610,5670]
[20210609,5703]
[20210608,5715]
[20210607,5629]
[20210604,5770]
[20210603,5767]
[20210602,5881]
[20210601,5834]
[20210531,5782]
[20210528,5750]
[20210527,5858]
[20210526,5870]
[20210525,5809]
[20210524,5776]
[20210521,5851]
[20210520,5977]
[20210519,6033]
[20210518,5994]
[20210517,5795]
[20210514,5723]
[20210513,5793]
[20210512,5780]
[20210511,5836]
[20210510,5789]
[20210507,5733]
[20210506,5501]
[20210430,5557]
[20210429,5537]
[20210428,5540]
[20210427,5489]
[20210426,5530]
[20210423,5606]
[20210422,5578]
[20210421,5499]
[20210420,5505]
[20210419,5499]
[20210416,5488]
[20210415,5428]
[20210414,5308]
[20210413,5354]
[20210412,5392]
[20210409,5406]
[20210408,5368]
[20210407,5305]
[20210406,5388]
[20210402,5256]
[20210401,5185]
[20210331,5222]
[20210330,5287]
[20210329,5359]
[20210326,5392]
[20210325,5329]
[20210324,5426]
[20210323,5411]
[20210322,5539]
[20210319,5656]
[20210318,5590]
[20210317,5524]
[20210316,5491]
[20210315,5487]
[20210312,5551]
[20210311,5501]
[20210310,5407]
[20210309,5404]
[20210308,5353]
[20210305,5464]
[20210304,5619]
[20210303,5523]
[20210302,5663]
[20210301,5648]
[20210226,5901]
[20210225,5858]
[20210224,5962]
[20210223,5915]
[20210222,5740]
[20210219,5690]
[20210218,5708]
[20210210,5733]
[20210209,5687]
[20210208,5603]
[20210205,5611]
[20210204,5684]
[20210203,5969]
[20210202,6036]
[20210201,5658]
[20210129,5456]
[20210128,5397]
[20210127,5383]
[20210126,5417]
[20210125,5462]
[20210122,5532]
[20210121,5503]
[20210120,5394]
[20210119,5390]
[20210118,5392]
[20210115,5415]
[20210114,5426]
[20210113,5416]
[20210112,5313]
[20210111,5775]
[20210108,5860]
[20210107,5886]
[20210106,5917]
[20210105,5903]
[20210104,5799]
[20201231,5767]
[20201230,5686]
[20201229,5797]
[20201228,5720]
[20201225,5611]
[20201224,5581]
[20201223,5579]
[20201222,5882]
[20201221,5769]
[20201218,5543]
[20201217,5401]
[20201216,5314]
[20201215,5191]
[20201214,5178]
[20201211,5162]
[20201210,5249]
[20201209,5355]
[20201208,5311]
[20201207,5270]
[20201204,5220]
[20201203,5172]
[20201202,5038]
[20201201,4924]
[20201130,5064]
[20201127,5093]
[20201126,5047]
[20201125,5100]
[20201124,5257]
[20201123,5262]
[20201120,5215]
[20201119,5317]
[20201118,5358]
[20201117,5470]
[20201116,5367]
[20201113,5281]
[20201112,5306]
[20201111,5277]
[20201110,5571]
[20201109,5543]
[20201106,5404]
[20201105,5256]
[20201104,5322]
[20201103,5280]
[20201102,5136]
[20201030,5245]
[20201029,5407]
[20201028,5406]
[20201027,5321]
[20201026,5405]
[20201023,5482]
[20201022,5489]
[20201021,5409]
[20201020,5444]
[20201019,5367]
[20201016,5384]
[20201015,5347]
[20201014,5521]
[20201013,5586]
[20201012,5460]
[20201009,5282]
[20200930,5221]
[20200929,5100]
[20200928,5175]
[20200925,5038]
[20200924,5153]
[20200923,5417]
[20200922,5973]
[20200921,6118]
[20200918,6037]
[20200917,6168]
[20200916,6207]
[20200915,6121]
[20200914,6139]
[20200911,6202]
[20200910,6132]
