[20210830,69598]
[20210827,68545]
[20210826,69068]
[20210825,68593]
[20210824,67546]
[20210823,67446]
[20210820,66585]
[20210819,68534]
[20210818,69414]
[20210817,69414]
[20210816,69984]
[20210813,70213]
[20210812,69807]
[20210811,69622]
[20210810,69753]
[20210809,70028]
[20210806,69498]
[20210805,69856]
[20210804,70261]
[20210803,71287]
[20210802,71541]
[20210730,71403]
[20210729,71624]
[20210728,71483]
[20210727,71339]
[20210726,69732]
[20210723,69008]
[20210722,67966]
[20210721,68160]
[20210720,68877]
[20210719,69182]
[20210716,68832]
[20210715,68672]
[20210714,69113]
[20210713,69014]
[20210712,68675]
[20210709,68776]
[20210708,68910]
[20210707,69963]
[20210706,69705]
[20210705,68716]
[20210702,68079]
[20210701,68369]
[20210630,68163]
[20210629,68481]
[20210628,68564]
[20210625,68463]
[20210624,68724]
[20210623,67936]
[20210622,66930]
[20210621,67242]
[20210618,68762]
[20210617,68813]
[20210616,70289]
[20210615,71796]
[20210611,71567]
[20210610,71682]
[20210609,72132]
[20210608,71586]
[20210607,70887]
[20210604,72981]
[20210603,73678]
[20210602,74681]
[20210601,74002]
[20210531,74107]
[20210528,73221]
[20210527,71836]
[20210526,72296]
[20210525,72226]
[20210524,72123]
[20210521,73667]
[20210520,74264]
[20210519,76317]
[20210518,75780]
[20210517,75153]
[20210514,76102]
[20210513,77178]
[20210512,76527]
[20210511,77992]
[20210510,76661]
[20210507,74110]
[20210506,72652]
[20210430,72493]
[20210429,71983]
[20210428,72642]
[20210427,72016]
[20210426,70288]
[20210423,69313]
[20210422,69138]
[20210421,69588]
[20210420,69878]
[20210419,68647]
[20210416,68799]
[20210415,67125]
[20210414,66137]
[20210413,65906]
[20210412,66991]
[20210409,67065]
[20210408,67196]
[20210407,67286]
[20210406,67349]
[20210402,66293]
[20210401,65852]
[20210331,66152]
[20210330,66592]
[20210329,66512]
[20210326,66232]
[20210325,66661]
[20210324,67288]
[20210323,67013]
[20210322,66464]
[20210319,67042]
[20210318,67424]
[20210317,67044]
[20210316,67784]
[20210315,67718]
[20210312,67572]
[20210311,66530]
[20210310,66352]
[20210309,66561]
[20210308,66600]
[20210305,67226]
[20210304,68222]
[20210303,67139]
[20210302,67771]
[20210301,68073]
[20210226,70396]
[20210225,69463]
[20210224,68242]
[20210223,67977]
[20210222,66174]
