[20210830,8342]
[20210827,8272]
[20210826,8359]
[20210825,8234]
[20210824,8086]
[20210823,8075]
[20210820,8174]
[20210819,8197]
[20210818,8405]
[20210817,8374]
[20210816,8408]
[20210813,8440]
[20210812,8436]
[20210811,8247]
[20210810,8102]
[20210809,7998]
[20210806,7932]
[20210805,7921]
[20210804,7812]
[20210803,7668]
[20210802,8011]
[20210730,7948]
[20210729,7912]
[20210728,7986]
[20210727,7892]
[20210726,7789]
[20210723,7694]
[20210722,7568]
[20210721,7672]
[20210720,7669]
[20210719,7604]
[20210716,7487]
[20210715,7413]
[20210714,7291]
[20210713,7325]
[20210712,7354]
[20210709,7231]
[20210708,7122]
[20210707,7236]
[20210706,7189]
[20210705,7116]
[20210702,6984]
[20210701,6892]
[20210630,6587]
[20210629,6597]
[20210628,6539]
[20210625,6503]
[20210624,6512]
[20210623,6564]
[20210622,6454]
[20210621,6244]
[20210618,6484]
[20210617,6395]
[20210616,6563]
[20210615,7009]
[20210611,7163]
[20210610,7235]
[20210609,7216]
[20210608,7422]
[20210607,7435]
[20210604,7589]
[20210603,7442]
[20210602,7185]
[20210601,7056]
[20210531,7189]
[20210528,7089]
[20210527,7189]
[20210526,7131]
[20210525,7125]
[20210524,7121]
[20210521,7556]
[20210520,7576]
[20210519,7726]
[20210518,7653]
[20210517,7706]
[20210514,7806]
[20210513,7811]
[20210512,7622]
[20210511,7401]
[20210510,7494]
[20210507,7450]
[20210506,7070]
[20210430,7036]
[20210429,6980]
[20210428,6994]
[20210427,6951]
[20210426,7233]
[20210423,7063]
[20210422,7038]
[20210421,6812]
[20210420,6677]
[20210419,6645]
[20210416,6552]
[20210415,6432]
[20210414,6339]
[20210413,6304]
[20210412,6427]
[20210409,6499]
[20210408,6596]
[20210407,6618]
[20210406,6492]
[20210402,6418]
[20210401,6303]
[20210331,6284]
[20210330,6373]
[20210329,6383]
[20210326,6808]
[20210325,6828]
[20210324,6885]
[20210323,6811]
[20210322,6550]
[20210319,6600]
[20210318,6668]
[20210317,6691]
[20210316,6830]
[20210315,6833]
[20210312,6741]
[20210311,6633]
[20210310,6442]
[20210309,6592]
[20210308,6538]
[20210305,6325]
[20210304,6299]
[20210303,6243]
[20210302,6418]
[20210301,6504]
[20210226,6459]
[20210225,6408]
[20210224,6257]
[20210223,6237]
[20210222,6187]
[20210219,6107]
[20210218,5845]
[20210210,5860]
[20210209,5763]
[20210208,5635]
[20210205,5553]
[20210204,5548]
[20210203,5664]
[20210202,5685]
[20210201,5740]
[20210129,5694]
[20210128,5718]
[20210127,5587]
[20210126,5631]
[20210125,5490]
[20210122,5581]
[20210121,5559]
[20210120,5652]
[20210119,5707]
[20210118,5665]
[20210115,5744]
[20210114,5984]
[20210113,6070]
[20210112,6044]
[20210111,6135]
[20210108,6196]
[20210107,6153]
[20210106,6016]
[20210105,5963]
[20210104,5935]
[20201231,5884]
[20201230,5853]
[20201229,5801]
[20201228,5975]
[20201225,5929]
[20201224,5740]
[20201223,5582]
[20201222,5708]
[20201221,5758]
[20201218,5718]
[20201217,5709]
[20201216,5640]
[20201215,5641]
[20201214,5577]
[20201211,5473]
[20201210,5426]
[20201209,5363]
[20201208,5436]
[20201207,5404]
[20201204,5356]
[20201203,5243]
[20201202,5335]
[20201201,5304]
[20201130,5384]
[20201127,5362]
[20201126,5397]
[20201125,5430]
[20201124,5311]
[20201123,5423]
[20201120,5591]
[20201119,5503]
[20201118,5511]
[20201117,5446]
[20201116,5371]
[20201113,5319]
[20201112,5330]
[20201111,5231]
[20201110,5110]
[20201109,5246]
[20201106,5202]
[20201105,5135]
[20201104,5093]
[20201103,4991]
[20201102,4981]
[20201030,5112]
[20201029,5086]
[20201028,5042]
[20201027,4951]
[20201026,4933]
[20201023,4910]
[20201022,4801]
[20201021,4788]
[20201020,4722]
[20201019,4846]
[20201016,4909]
[20201015,5023]
[20201014,4981]
[20201013,5001]
[20201012,4957]
[20201009,4645]
[20200930,4748]
[20200929,4708]
[20200928,4744]
[20200925,4725]
[20200924,4796]
[20200923,4929]
[20200922,5189]
[20200921,5154]
[20200918,5080]
[20200917,4967]
[20200916,4869]
[20200915,4893]
[20200914,4795]
[20200911,4709]
[20200910,4707]
[20200909,4778]
[20200908,4742]
[20200907,4697]
[20200904,4761]
[20200903,4787]
[20200902,4721]
[20200901,4687]
[20200831,4666]
[20200828,4589]
[20200827,4501]
[20200826,4435]
[20200825,4466]
[20200824,4494]
[20200821,4492]
[20200820,4620]
[20200819,4564]
[20200818,4567]
[20200817,4545]
[20200814,4560]
[20200813,4468]
[20200812,4489]
[20200811,4542]
[20200810,4556]
[20200807,4590]
[20200806,4588]
[20200805,4640]
[20200804,4601]
[20200803,4488]
[20200731,4423]
[20200730,4390]
[20200729,4355]
[20200728,4452]
[20200727,4431]
[20200724,4461]
[20200723,4341]
[20200722,4324]
[20200721,4302]
[20200720,4266]
[20200717,4188]
[20200716,4093]
[20200715,4054]
[20200714,3983]
[20200713,3853]
[20200710,3946]
[20200709,3931]
[20200708,3906]
[20200707,3951]
