[20210830,2678]
[20210827,2630]
[20210826,2700]
[20210825,2735]
[20210824,2770]
[20210823,2720]
[20210820,2674]
[20210819,2732]
[20210818,2762]
[20210817,2755]
[20210816,2759]
[20210813,2730]
[20210812,2855]
[20210811,2866]
[20210810,2816]
[20210809,2747]
[20210806,2701]
[20210805,2778]
[20210804,2757]
[20210803,2814]
[20210802,2894]
[20210730,2878]
[20210729,2861]
[20210728,2814]
[20210727,2896]
[20210726,3017]
[20210723,3029]
[20210722,2996]
[20210721,3004]
[20210720,3014]
[20210719,3082]
[20210716,3012]
[20210715,3048]
[20210714,3001]
[20210713,2938]
[20210712,2896]
[20210709,2880]
[20210708,2853]
[20210707,2838]
[20210706,2815]
[20210705,2813]
[20210702,2779]
[20210701,2803]
[20210630,2791]
[20210629,2786]
[20210628,2820]
[20210625,2784]
[20210624,2717]
[20210623,2672]
[20210622,2633]
[20210621,2627]
[20210618,2633]
[20210617,2606]
[20210616,2628]
[20210615,2699]
[20210611,2662]
[20210610,2639]
[20210609,2626]
[20210608,2608]
[20210607,2686]
[20210604,2658]
[20210603,2666]
[20210602,2696]
[20210601,2676]
[20210531,2657]
[20210528,2577]
[20210527,2557]
[20210526,2598]
[20210525,2601]
[20210524,2518]
[20210521,2612]
[20210520,2645]
[20210519,2775]
[20210518,2750]
[20210517,2780]
[20210514,2812]
[20210513,2846]
[20210512,2817]
[20210511,2689]
[20210510,2584]
[20210507,2513]
[20210506,2462]
[20210430,2379]
[20210429,2340]
[20210428,2300]
[20210427,2281]
[20210426,2252]
[20210423,2235]
[20210422,2246]
[20210421,2246]
[20210420,2227]
[20210419,2212]
[20210416,2203]
[20210415,2167]
[20210414,2151]
[20210413,2135]
[20210412,2096]
[20210409,2140]
[20210408,2141]
[20210407,2160]
[20210406,2154]
[20210402,2121]
[20210401,2124]
[20210331,2134]
[20210330,2132]
[20210329,2133]
[20210326,2099]
[20210325,2048]
[20210324,2080]
[20210323,2089]
[20210322,2091]
[20210319,2077]
[20210318,2072]
[20210317,2045]
[20210316,2022]
[20210315,1990]
[20210312,1988]
[20210311,2042]
[20210310,2013]
[20210309,2070]
[20210308,2093]
[20210305,2071]
[20210304,2086]
[20210303,2116]
[20210302,2080]
[20210301,2082]
[20210226,2059]
[20210225,2026]
[20210224,1978]
[20210223,1980]
[20210222,1947]
[20210219,1924]
[20210218,1927]
[20210210,1895]
[20210209,1856]
[20210208,1838]
[20210205,1827]
[20210204,1792]
[20210203,1770]
[20210202,1802]
[20210201,1810]
[20210129,1792]
[20210128,1781]
[20210127,1766]
[20210126,1805]
[20210125,1788]
[20210122,1771]
[20210121,1741]
[20210120,1732]
[20210119,1735]
[20210118,1717]
[20210115,1694]
[20210114,1738]
[20210113,1779]
[20210112,1795]
[20210111,1776]
[20210108,1794]
[20210107,1805]
[20210106,1837]
[20210105,1871]
[20210104,1856]
[20201231,1857]
