[20210830,3148]
[20210827,3203]
[20210826,3277]
[20210825,3233]
[20210824,3137]
[20210823,2940]
[20210820,2880]
[20210819,2877]
[20210818,2945]
[20210817,2941]
[20210816,2929]
[20210813,2880]
[20210812,2968]
[20210811,2945]
[20210810,2876]
[20210809,2825]
[20210806,2791]
[20210805,2787]
[20210804,2719]
[20210803,2730]
[20210802,2769]
[20210730,2789]
[20210729,2779]
[20210728,2740]
[20210727,2706]
[20210726,2662]
[20210723,2592]
[20210722,2572]
[20210721,2580]
[20210720,2556]
[20210719,2535]
[20210716,2509]
[20210715,2469]
[20210714,2424]
[20210713,2380]
[20210712,2341]
[20210709,2339]
[20210708,2460]
[20210707,2484]
[20210706,2532]
[20210705,2494]
[20210702,2455]
[20210701,2481]
[20210630,2480]
[20210629,2560]
[20210628,2659]
[20210625,2645]
[20210624,2624]
[20210623,2574]
[20210622,2491]
[20210621,2533]
[20210618,2587]
[20210617,2568]
[20210616,2563]
[20210615,2555]
[20210611,2492]
[20210610,2469]
[20210609,2434]
[20210608,2379]
[20210607,2386]
[20210604,2529]
[20210603,2496]
[20210602,2437]
[20210601,2388]
[20210531,2344]
[20210528,2281]
[20210527,2249]
[20210526,2260]
[20210525,2258]
[20210524,2223]
[20210521,2346]
[20210520,2416]
[20210519,2497]
[20210518,2497]
[20210517,2477]
[20210514,2562]
[20210513,2667]
[20210512,2685]
[20210511,2782]
[20210510,2729]
[20210507,2654]
[20210506,2538]
[20210430,2542]
[20210429,2535]
[20210428,2524]
[20210427,2520]
[20210426,2492]
[20210423,2448]
[20210422,2435]
[20210421,2435]
[20210420,2406]
[20210419,2394]
[20210416,2358]
[20210415,2363]
[20210414,2347]
[20210413,2285]
[20210412,2270]
[20210409,2284]
[20210408,2286]
[20210407,2277]
[20210406,2307]
[20210402,2259]
[20210401,2228]
[20210331,2177]
[20210330,2191]
[20210329,2169]
[20210326,2097]
[20210325,2060]
[20210324,2050]
[20210323,2036]
[20210322,2151]
[20210319,2219]
[20210318,2219]
[20210317,2185]
[20210316,2147]
[20210315,2139]
[20210312,2238]
[20210311,2203]
[20210310,2181]
[20210309,2226]
[20210308,2236]
[20210305,2375]
[20210304,2407]
[20210303,2436]
[20210302,2363]
[20210301,2401]
[20210226,2509]
[20210225,2502]
[20210224,2456]
[20210223,2499]
[20210222,2582]
[20210219,2634]
[20210218,2528]
[20210210,2507]
[20210209,2500]
[20210208,2469]
[20210205,2440]
[20210204,2394]
[20210203,2375]
[20210202,2433]
[20210201,2456]
[20210129,2488]
[20210128,2542]
[20210127,2527]
[20210126,2574]
[20210125,2648]
[20210122,2676]
[20210121,2636]
[20210120,2572]
[20210119,2653]
[20210118,2688]
[20210115,2665]
[20210114,2608]
[20210113,2636]
[20210112,2720]
[20210111,2789]
[20210108,2866]
[20210107,2851]
[20210106,2855]
[20210105,2832]
[20210104,2751]
[20201231,2691]
[20201230,2659]
[20201229,2700]
[20201228,2721]
[20201225,2673]
[20201224,2623]
[20201223,2600]
[20201222,2700]
