[20210830,2519]
[20210827,2517]
[20210826,2577]
[20210825,2530]
[20210824,2449]
[20210823,2337]
[20210820,2279]
[20210819,2143]
[20210818,2228]
[20210817,2199]
[20210816,2228]
[20210813,2191]
[20210812,2252]
[20210811,2226]
[20210810,2216]
[20210809,2242]
[20210806,2201]
[20210805,2179]
[20210804,2129]
[20210803,2140]
[20210802,2159]
[20210730,2101]
[20210729,2082]
[20210728,2031]
[20210727,2032]
[20210726,2013]
[20210723,1963]
[20210722,1955]
[20210721,1940]
[20210720,1941]
[20210719,1908]
[20210716,1890]
[20210715,1869]
[20210714,1841]
[20210713,1803]
[20210712,1738]
[20210709,1727]
[20210708,1808]
[20210707,1825]
[20210706,1843]
[20210705,1822]
[20210702,1788]
[20210701,1820]
[20210630,1819]
[20210629,1851]
[20210628,1908]
[20210625,1911]
[20210624,1901]
[20210623,1875]
[20210622,1819]
[20210621,1824]
[20210618,1883]
[20210617,1859]
[20210616,1826]
[20210615,1853]
[20210611,1797]
[20210610,1757]
[20210609,1750]
[20210608,1720]
[20210607,1731]
[20210604,1757]
[20210603,1770]
[20210602,1752]
[20210601,1710]
[20210531,1704]
[20210528,1687]
[20210527,1666]
[20210526,1667]
[20210525,1651]
[20210524,1599]
[20210521,1668]
[20210520,1806]
[20210519,1842]
[20210518,1845]
[20210517,1827]
[20210514,1853]
[20210513,1975]
[20210512,1951]
[20210511,1931]
[20210510,1875]
[20210507,1797]
[20210506,1713]
[20210430,1652]
[20210429,1660]
[20210428,1670]
[20210427,1677]
[20210426,1669]
[20210423,1642]
[20210422,1632]
[20210421,1629]
[20210420,1625]
[20210419,1642]
[20210416,1603]
[20210415,1570]
[20210414,1571]
[20210413,1559]
[20210412,1552]
[20210409,1543]
[20210408,1546]
[20210407,1557]
[20210406,1561]
[20210402,1563]
[20210401,1616]
[20210331,1617]
[20210330,1628]
[20210329,1582]
[20210326,1511]
[20210325,1524]
[20210324,1510]
[20210323,1513]
[20210322,1557]
[20210319,1571]
[20210318,1566]
[20210317,1533]
[20210316,1483]
[20210315,1466]
[20210312,1503]
[20210311,1498]
[20210310,1467]
[20210309,1474]
[20210308,1479]
[20210305,1469]
[20210304,1490]
[20210303,1469]
[20210302,1415]
[20210301,1429]
[20210226,1493]
[20210225,1475]
[20210224,1438]
[20210223,1471]
[20210222,1530]
[20210219,1572]
[20210218,1525]
[20210210,1518]
[20210209,1513]
[20210208,1495]
[20210205,1482]
[20210204,1445]
[20210203,1435]
[20210202,1464]
[20210201,1479]
[20210129,1529]
[20210128,1565]
[20210127,1553]
[20210126,1591]
[20210125,1586]
[20210122,1612]
[20210121,1613]
[20210120,1617]
[20210119,1664]
[20210118,1688]
[20210115,1676]
[20210114,1617]
[20210113,1687]
[20210112,1740]
[20210111,1730]
[20210108,1734]
[20210107,1668]
[20210106,1665]
[20210105,1685]
[20210104,1637]
[20201231,1600]
[20201230,1621]
[20201229,1670]
[20201228,1672]
[20201225,1614]
[20201224,1596]
[20201223,1573]
[20201222,1631]
[20201221,1627]
[20201218,1561]
[20201217,1516]
[20201216,1499]
[20201215,1461]
[20201214,1501]
[20201211,1555]
[20201210,1528]
[20201209,1496]
[20201208,1440]
[20201207,1436]
[20201204,1414]
[20201203,1438]
[20201202,1403]
[20201201,1355]
[20201130,1320]
[20201127,1321]
[20201126,1315]
[20201125,1301]
[20201124,1283]
[20201123,1257]
[20201120,1231]
[20201119,1226]
[20201118,1231]
[20201117,1247]
[20201116,1259]
[20201113,1255]
[20201112,1242]
[20201111,1215]
[20201110,1218]
[20201109,1225]
[20201106,1221]
[20201105,1200]
[20201104,1212]
[20201103,1242]
[20201102,1238]
[20201030,1235]
[20201029,1226]
[20201028,1220]
[20201027,1225]
[20201026,1238]
[20201023,1253]
[20201022,1243]
[20201021,1236]
[20201020,1231]
[20201019,1245]
[20201016,1247]
[20201015,1255]
[20201014,1248]
[20201013,1256]
[20201012,1236]
[20201009,1199]
[20200930,1181]
[20200929,1172]
[20200928,1160]
[20200925,1164]
[20200924,1177]
[20200923,1184]
[20200922,1174]
[20200921,1181]
[20200918,1177]
[20200917,1164]
[20200916,1160]
[20200915,1173]
[20200914,1170]
[20200911,1158]
[20200910,1164]
[20200909,1173]
[20200908,1189]
[20200907,1187]
[20200904,1188]
[20200903,1188]
[20200902,1173]
[20200901,1160]
[20200831,1141]
[20200828,1136]
[20200827,1126]
[20200826,1127]
[20200825,1126]
[20200824,1119]
[20200821,1113]
[20200820,1098]
[20200819,1101]
[20200818,1096]
[20200817,1098]
[20200814,1088]
[20200813,1098]
[20200812,1093]
[20200811,1107]
[20200810,1112]
[20200807,1119]
[20200806,1112]
[20200805,1105]
[20200804,1122]
[20200803,1118]
[20200731,1107]
[20200730,1117]
[20200729,1112]
[20200728,1119]
[20200727,1132]
[20200724,1127]
[20200723,1119]
[20200722,1127]
[20200721,1123]
[20200720,1107]
[20200717,1105]
[20200716,1095]
[20200715,1096]
[20200714,1105]
[20200713,1099]
[20200710,1114]
[20200709,1105]
[20200708,1093]
[20200707,1088]
[20200706,1090]
[20200703,1092]
[20200702,1083]
[20200701,1080]
[20200630,1074]
[20200629,1088]
[20200624,1090]
[20200623,1081]
[20200622,1089]
[20200619,1090]
[20200618,1081]
[20200617,1084]
[20200616,1075]
[20200615,1086]
[20200612,1083]
[20200611,1084]
[20200610,1097]
[20200609,1091]
[20200608,1082]
[20200605,1078]
[20200604,1081]
[20200603,1076]
[20200602,1083]
[20200601,1071]
[20200529,1059]
[20200528,1064]
[20200527,1062]
[20200526,1054]
[20200525,1056]
[20200522,1065]
[20200521,1058]
[20200520,1070]
[20200519,1058]
[20200518,1040]
[20200515,1029]
[20200514,1030]
[20200513,1018]
[20200512,1006]
[20200511,996]
[20200508,999]
[20200507,990]
[20200506,977]
[20200430,966]
[20200429,944]
[20200428,984]
[20200427,998]
[20200424,1006]
[20200423,1021]
[20200422,1019]
[20200421,1035]
[20200420,1039]
[20200417,1040]
[20200416,1027]
[20200415,1035]
[20200414,1036]
[20200413,1035]
[20200410,1025]
[20200409,1006]
[20200408,999]
[20200407,991]
[20200403,1022]
[20200402,1030]
[20200401,1047]
[20200331,1034]
[20200330,1041]
[20200327,1036]
[20200326,1045]
[20200325,1056]
[20200324,1039]
[20200323,1041]
[20200320,1059]
[20200319,1055]
[20200318,1067]
[20200317,1068]
[20200316,1072]
[20200313,1065]
[20200312,1050]
[20200311,1044]
[20200310,1048]
[20200309,1040]
[20200306,1047]
[20200305,1058]
[20200304,1056]
[20200303,1059]
[20200302,1048]
[20200228,1050]
[20200227,1054]
[20200226,1060]
[20200225,1063]
[20200224,1056]
[20200221,1062]
[20200220,1053]
[20200219,1055]
[20200218,1055]
[20200217,1059]
[20200214,1054]
[20200213,1063]
[20200212,1058]
[20200211,1031]
[20200210,1022]
[20200207,1021]
[20200206,987]
[20200205,999]
[20200204,985]
[20200203,997]
[20200123,1012]
[20200122,1017]
[20200121,1019]
[20200120,1014]
[20200117,1016]
[20200116,1013]
[20200115,1006]
[20200114,1007]
[20200113,1001]
[20200110,1002]
[20200109,999]
[20200108,996]
[20200107,987]
[20200106,978]
[20200103,977]
[20200102,967]
[20191231,966]
[20191230,954]
[20191227,951]
[20191226,956]
[20191225,955]
[20191224,970]
[20191223,982]
[20191220,983]
[20191219,992]
[20191218,990]
[20191217,991]
[20191216,989]
[20191213,982]
[20191212,983]
[20191211,990]
[20191210,990]
[20191209,990]
[20191206,983]
[20191205,980]
[20191204,986]
[20191203,985]
[20191202,979]
[20191129,976]
[20191128,979]
[20191127,981]
[20191126,1002]
[20191125,1005]
[20191122,1001]
[20191121,1008]
[20191120,1002]
[20191119,990]
[20191118,980]
[20191115,986]
[20191114,984]
[20191113,979]
[20191112,979]
[20191111,987]
[20191108,986]
[20191107,985]
[20191106,993]
[20191105,984]
[20191104,985]
[20191101,986]
[20191031,1003]
[20191030,1002]
[20191029,998]
[20191028,1001]
[20191025,1002]
[20191024,997]
[20191023,995]
[20191022,984]
[20191021,987]
[20191018,985]
[20191017,977]
[20191016,989]
[20191015,983]
[20191014,995]
[20191011,998]
[20191010,995]
[20191009,1002]
[20191008,989]
[20190930,996]
