[20210830,144879]
[20210827,141372]
[20210826,143650]
[20210825,142394]
[20210824,140976]
[20210823,140025]
[20210820,141034]
[20210819,141487]
[20210818,144857]
[20210817,145678]
[20210816,145938]
[20210813,145738]
[20210812,142935]
[20210811,140350]
[20210810,139626]
[20210809,144377]
[20210806,142967]
[20210805,142780]
[20210804,142326]
[20210803,145531]
[20210802,145907]
[20210730,146383]
[20210729,145493]
[20210728,144093]
[20210727,145494]
[20210726,144265]
[20210723,140034]
[20210722,137307]
[20210721,137835]
[20210720,141709]
[20210719,141662]
[20210716,140689]
[20210715,139211]
[20210714,139642]
[20210713,139257]
[20210712,139026]
[20210709,138197]
[20210708,135556]
[20210707,137360]
[20210706,137079]
[20210705,134247]
[20210702,133812]
[20210701,137282]
[20210630,135712]
[20210629,136843]
[20210628,136819]
[20210625,135988]
[20210624,133780]
[20210623,132315]
[20210622,130178]
[20210621,127912]
[20210618,126985]
[20210617,127297]
[20210616,131433]
[20210615,134618]
[20210611,132520]
[20210610,132001]
[20210609,131117]
[20210608,129736]
[20210607,130440]
[20210604,132421]
[20210603,134024]
[20210602,134277]
[20210601,133516]
[20210531,132710]
[20210528,128968]
[20210527,125568]
[20210526,125043]
[20210525,124366]
[20210524,123630]
[20210521,127544]
[20210520,132150]
[20210519,133782]
[20210518,131967]
[20210517,129557]
[20210514,128458]
[20210513,131946]
[20210512,131511]
[20210511,132329]
[20210510,133635]
[20210507,131836]
[20210506,130243]
[20210430,129215]
[20210429,127828]
[20210428,125976]
[20210427,124430]
[20210426,120858]
[20210423,119259]
[20210422,120117]
[20210421,120231]
[20210420,120678]
[20210419,122782]
[20210416,122039]
[20210415,120697]
[20210414,121073]
[20210413,121599]
[20210412,125380]
[20210409,126073]
[20210408,125629]
[20210407,124652]
[20210406,124214]
[20210402,121651]
[20210401,119990]
[20210331,122843]
[20210330,123382]
[20210329,122880]
[20210326,121284]
[20210325,120206]
[20210324,124020]
[20210323,122359]
[20210322,121053]
[20210319,119804]
[20210318,120008]
[20210317,119803]
[20210316,121341]
[20210315,120054]
[20210312,121802]
[20210311,120334]
[20210310,119071]
[20210309,121585]
[20210308,121672]
[20210305,129862]
[20210304,137351]
[20210303,137208]
[20210302,137718]
[20210301,139402]
[20210226,142349]
[20210225,141401]
[20210224,142332]
[20210223,143339]
[20210222,143838]
[20210219,138643]
[20210218,135009]
[20210210,132836]
[20210209,132180]
[20210208,130610]
[20210205,129463]
[20210204,127266]
[20210203,128583]
[20210202,130501]
[20210201,128695]
[20210129,129492]
[20210128,131350]
[20210127,131481]
[20210126,133433]
[20210125,132680]
[20210122,133131]
[20210121,132907]
[20210120,132170]
[20210119,132453]
[20210118,130882]
[20210115,131318]
[20210114,128871]
[20210113,127861]
[20210112,126279]
[20210111,129863]
[20210108,131259]
[20210107,128535]
[20210106,127467]
[20210105,126602]
[20210104,123930]
[20201231,123049]
[20201230,124620]
[20201229,125913]
[20201228,125585]
[20201225,124198]
[20201224,122598]
[20201223,123312]
[20201222,130623]
[20201221,129875]
[20201218,128407]
[20201217,127589]
[20201216,129065]
[20201215,128504]
[20201214,128429]
[20201211,124433]
[20201210,120975]
[20201209,119483]
[20201208,119309]
[20201207,117048]
[20201204,115416]
[20201203,117562]
[20201202,117480]
[20201201,119595]
[20201130,120720]
[20201127,119942]
[20201126,118034]
[20201125,119305]
[20201124,118605]
[20201123,116091]
[20201120,114994]
[20201119,114240]
[20201118,113993]
[20201117,118015]
[20201116,117333]
[20201113,117074]
[20201112,116612]
[20201111,116311]
[20201110,115748]
[20201109,113318]
[20201106,114300]
[20201105,114082]
[20201104,113842]
[20201103,113755]
[20201102,114824]
[20201030,118890]
[20201029,122534]
[20201028,116154]
[20201027,116324]
[20201026,117353]
[20201023,117644]
[20201022,119466]
[20201021,118556]
[20201020,117139]
[20201019,117558]
[20201016,116300]
[20201015,115349]
[20201014,114892]
[20201013,114852]
[20201012,114180]
[20201009,110827]
[20200930,111376]
[20200929,111273]
[20200928,111293]
[20200925,110886]
[20200924,110754]
[20200923,111124]
[20200922,111929]
[20200921,114449]
[20200918,114418]
[20200917,115285]
[20200916,116698]
[20200915,116905]
[20200914,115209]
[20200911,113676]
[20200910,113884]
[20200909,117498]
[20200908,117150]
[20200907,117438]
[20200904,118242]
[20200903,119508]
[20200902,120893]
[20200901,119999]
[20200831,118276]
[20200828,117525]
[20200827,118112]
[20200826,116489]
[20200825,115414]
[20200824,114581]
[20200821,114048]
[20200820,114183]
[20200819,114523]
[20200818,114073]
[20200817,112756]
[20200814,111796]
[20200813,110326]
[20200812,110080]
[20200811,111078]
