[20210830,5283]
[20210827,5177]
[20210826,5242]
[20210825,5238]
[20210824,5148]
[20210823,5100]
[20210820,5101]
[20210819,5132]
[20210818,5336]
[20210817,5352]
[20210816,5472]
[20210813,5454]
[20210812,5590]
[20210811,5542]
[20210810,5422]
[20210809,5432]
[20210806,5466]
[20210805,5513]
[20210804,5428]
[20210803,5467]
[20210802,5800]
[20210730,5817]
[20210729,5773]
[20210728,5724]
[20210727,5777]
[20210726,5779]
[20210723,5714]
[20210722,5671]
[20210721,5670]
[20210720,5678]
[20210719,5649]
[20210716,5602]
[20210715,5642]
[20210714,5578]
[20210713,5497]
[20210712,5497]
[20210709,5454]
[20210708,5495]
[20210707,5422]
[20210706,5302]
[20210705,5226]
[20210702,5194]
[20210701,5200]
[20210630,5102]
[20210629,5138]
[20210628,5112]
[20210625,5048]
[20210624,4990]
[20210623,4963]
[20210622,4928]
[20210621,5105]
[20210618,5179]
[20210617,5119]
[20210616,5217]
[20210615,5377]
[20210611,5293]
[20210610,5171]
[20210609,5099]
[20210608,5007]
[20210607,5196]
[20210604,5242]
[20210603,5161]
[20210602,5169]
[20210601,5134]
[20210531,5098]
[20210528,4935]
[20210527,4816]
[20210526,4966]
[20210525,5011]
[20210524,5156]
[20210521,5243]
[20210520,5359]
[20210519,5671]
[20210518,5696]
[20210517,5693]
[20210514,5973]
[20210513,6242]
[20210512,6211]
[20210511,6035]
[20210510,5910]
[20210507,5723]
[20210506,5527]
[20210430,5502]
[20210429,5490]
[20210428,5466]
[20210427,5454]
[20210426,5445]
[20210423,5294]
[20210422,5232]
[20210421,5209]
[20210420,5155]
[20210419,5162]
[20210416,5149]
[20210415,5156]
[20210414,5161]
[20210413,5104]
[20210412,5109]
[20210409,5161]
[20210408,5158]
[20210407,5189]
[20210406,5179]
[20210402,5098]
[20210401,4995]
[20210331,5004]
[20210330,4995]
[20210329,4964]
[20210326,4902]
[20210325,4837]
[20210324,4793]
[20210323,4787]
[20210322,4840]
[20210319,4804]
[20210318,4808]
[20210317,4780]
[20210316,4814]
[20210315,4764]
[20210312,4753]
[20210311,4572]
[20210310,4616]
[20210309,4761]
[20210308,4796]
[20210305,4881]
[20210304,4874]
[20210303,4826]
[20210302,4709]
[20210301,4706]
[20210226,4705]
[20210225,4713]
[20210224,4600]
[20210223,4634]
[20210222,4607]
[20210219,4569]
[20210218,4458]
[20210210,4449]
[20210209,4403]
[20210208,4340]
[20210205,4289]
[20210204,4231]
[20210203,4180]
[20210202,4242]
[20210201,4288]
[20210129,4312]
[20210128,4411]
[20210127,4370]
[20210126,4367]
[20210125,4355]
[20210122,4392]
[20210121,4371]
[20210120,4328]
[20210119,4421]
[20210118,4395]
[20210115,4376]
[20210114,4320]
[20210113,4353]
[20210112,4374]
[20210111,4514]
[20210108,4505]
[20210107,4452]
[20210106,4412]
[20210105,4418]
[20210104,4432]
[20201231,4356]
[20201230,4245]
[20201229,4268]
[20201228,4350]
[20201225,4296]
[20201224,4310]
[20201223,4384]
[20201222,4424]
[20201221,4379]
[20201218,4266]
[20201217,4162]
[20201216,4076]
[20201215,4044]
[20201214,4042]
[20201211,3978]
[20201210,4053]
[20201209,3984]
[20201208,3925]
[20201207,3908]
[20201204,3835]
[20201203,3868]
[20201202,3872]
[20201201,3860]
[20201130,3874]
[20201127,3876]
[20201126,3840]
[20201125,3863]
[20201124,3867]
[20201123,3923]
[20201120,3919]
[20201119,3886]
[20201118,3875]
[20201117,3840]
[20201116,3792]
[20201113,3786]
[20201112,3793]
[20201111,3787]
[20201110,3814]
[20201109,3770]
[20201106,3720]
[20201105,3708]
[20201104,3687]
[20201103,3677]
[20201102,3657]
[20201030,3632]
[20201029,3631]
[20201028,3594]
[20201027,3574]
[20201026,3576]
[20201023,3598]
[20201022,3609]
[20201021,3591]
[20201020,3572]
[20201019,3584]
[20201016,3586]
[20201015,3578]
[20201014,3589]
[20201013,3597]
[20201012,3598]
[20201009,3536]
[20200930,3513]
[20200929,3502]
[20200928,3498]
[20200925,3514]
[20200924,3507]
[20200923,3492]
[20200922,3498]
[20200921,3561]
[20200918,3550]
[20200917,3539]
[20200916,3551]
[20200915,3611]
[20200914,3625]
