[20210830,241850]
[20210827,238491]
[20210826,239582]
[20210825,235804]
[20210824,231140]
[20210823,229460]
[20210820,240420]
[20210819,239483]
[20210818,240612]
[20210817,238222]
[20210816,235755]
[20210813,239376]
[20210812,238260]
[20210811,234810]
[20210810,230098]
[20210809,228461]
[20210806,226486]
[20210805,228544]
[20210804,227065]
[20210803,231179]
[20210802,230751]
[20210730,230481]
[20210729,228259]
[20210728,229149]
[20210727,228314]
[20210726,230756]
[20210723,225577]
[20210722,220648]
[20210721,223051]
[20210720,227658]
[20210719,226305]
[20210716,220838]
[20210715,215758]
[20210714,215959]
[20210713,213378]
[20210712,214183]
[20210709,212554]
[20210708,211345]
[20210707,214152]
[20210706,212155]
[20210705,208150]
[20210702,206960]
[20210701,209574]
[20210630,207426]
[20210629,204153]
[20210628,205957]
[20210625,203531]
[20210624,203240]
[20210623,200909]
[20210622,195892]
[20210621,196578]
[20210618,200422]
[20210617,199669]
[20210616,200405]
[20210615,206355]
[20210611,203475]
[20210610,202142]
[20210609,200534]
[20210608,197871]
[20210607,198731]
[20210604,201501]
[20210603,201712]
[20210602,201178]
[20210601,203309]
[20210531,204438]
[20210528,196495]
[20210527,192635]
[20210526,192548]
[20210525,189089]
[20210524,191809]
[20210521,191369]
[20210520,193416]
[20210519,193489]
[20210518,192518]
[20210517,189511]
[20210514,186891]
[20210513,191175]
[20210512,189698]
[20210511,190358]
[20210510,192885]
[20210507,192531]
[20210506,189180]
[20210430,186997]
[20210429,182294]
[20210428,181390]
[20210427,182428]
[20210426,179909]
[20210423,178449]
[20210422,179134]
[20210421,180538]
[20210420,180202]
[20210419,179096]
[20210416,175386]
[20210415,172854]
[20210414,173316]
[20210413,173503]
[20210412,176818]
[20210409,178179]
[20210408,180115]
[20210407,179238]
[20210406,180270]
[20210402,174978]
[20210401,171166]
[20210331,173154]
[20210330,173017]
[20210329,172432]
[20210326,170011]
[20210325,170994]
[20210324,174255]
[20210323,175283]
[20210322,174086]
[20210319,174254]
[20210318,173763]
[20210317,172371]
[20210316,173387]
[20210315,177934]
[20210312,177539]
[20210311,174064]
[20210310,171121]
[20210309,170011]
[20210308,173357]
[20210305,172702]
[20210304,175721]
[20210303,174568]
[20210302,183373]
[20210301,181599]
[20210226,187847]
[20210225,191221]
[20210224,187916]
[20210223,189026]
[20210222,185261]
[20210219,175417]
[20210218,164336]
[20210210,162377]
[20210209,163889]
[20210208,161487]
[20210205,161884]
[20210204,162120]
[20210203,164885]
[20210202,167442]
[20210201,171546]
[20210129,171748]
[20210128,170820]
[20210127,169675]
[20210126,167423]
[20210125,157017]
[20210122,161583]
[20210121,159270]
[20210120,157586]
[20210119,156625]
[20210118,155182]
[20210115,153935]
[20210114,153060]
[20210113,153312]
[20210112,153060]
[20210111,157461]
[20210108,158427]
[20210107,158046]
[20210106,158669]
[20210105,156766]
[20210104,152859]
[20201231,152220]
[20201230,153510]
[20201229,153328]
[20201228,153359]
[20201225,153195]
[20201224,151737]
[20201223,151628]
[20201222,152629]
[20201221,154226]
[20201218,154553]
[20201217,153996]
[20201216,153144]
[20201215,152251]
[20201214,151484]
[20201211,151623]
[20201210,151020]
[20201209,150380]
[20201208,149924]
[20201207,148786]
[20201204,147477]
[20201203,147006]
[20201202,147141]
[20201201,149623]
[20201130,149616]
[20201127,148457]
[20201126,146738]
[20201125,147224]
[20201124,147182]
[20201123,147166]
[20201120,147684]
[20201119,151502]
[20201118,150718]
[20201117,149935]
[20201116,148272]
[20201113,146740]
[20201112,146498]
[20201111,146744]
[20201110,147254]
[20201109,147256]
[20201106,146880]
[20201105,146376]
[20201104,146354]
[20201103,145361]
[20201102,143797]
[20201030,144276]
[20201029,144031]
[20201028,143997]
[20201027,143837]
[20201026,145645]
[20201023,145558]
[20201022,146757]
[20201021,146847]
[20201020,147007]
[20201019,146080]
[20201016,145648]
[20201015,145957]
[20201014,145875]
[20201013,145733]
[20201012,147029]
[20201009,146884]
[20200930,144741]
[20200929,143003]
[20200928,142800]
[20200925,142583]
[20200924,145825]
[20200923,146773]
[20200922,145992]
[20200921,145288]
[20200918,143522]
[20200917,145410]
[20200916,145135]
[20200915,145694]
[20200914,144531]
[20200911,144309]
[20200910,145739]
[20200909,147930]
[20200908,147690]
[20200907,147262]
[20200904,148140]
[20200903,148074]
[20200902,146644]
[20200901,145837]
[20200831,145111]
[20200828,144888]
[20200827,143540]
[20200826,142268]
[20200825,142797]
[20200824,145059]
[20200821,144078]
[20200820,143992]
[20200819,144059]
[20200818,144017]
[20200817,143411]
[20200814,143523]
[20200813,144679]
[20200812,143764]
[20200811,145711]
[20200810,147382]
[20200807,147746]
[20200806,146539]
[20200805,146894]
[20200804,147767]
[20200803,147362]
[20200731,148353]
[20200730,148808]
[20200729,149513]
[20200728,151528]
[20200727,145622]
[20200724,143534]
[20200723,144178]
[20200722,143362]
[20200721,142365]
[20200720,142609]
[20200717,141606]
[20200716,143244]
[20200715,143903]
[20200714,145291]
[20200713,141917]
[20200710,141482]
[20200709,142000]
[20200708,142313]
[20200707,142845]
[20200706,141769]
[20200703,139855]
[20200702,139440]
[20200701,139615]
[20200630,138879]
[20200629,138774]
[20200624,139368]
[20200623,138157]
[20200622,138540]
[20200619,139474]
[20200618,139602]
[20200617,138948]
[20200616,136905]
[20200615,137974]
[20200612,138555]
[20200611,139511]
[20200610,139342]
[20200609,138439]
[20200608,136022]
[20200605,134556]
[20200604,137546]
[20200603,135623]
[20200602,136093]
[20200601,135274]
[20200530,134421]
[20200529,134164]
[20200528,132980]
[20200527,132453]
[20200526,131893]
[20200525,131118]
[20200522,133387]
[20200521,133658]
[20200520,131463]
[20200519,129319]
[20200518,128503]
[20200515,128246]
[20200514,128840]
[20200513,128971]
[20200512,129869]
[20200511,128715]
[20200508,127545]
[20200507,128209]
[20200506,126756]
[20200430,126803]
[20200429,127836]
[20200428,128575]
[20200427,126935]
[20200424,124255]
[20200423,120662]
[20200422,120359]
[20200421,122962]
[20200420,123883]
[20200417,121598]
[20200416,121661]
[20200415,121386]
[20200414,121759]
[20200413,121664]
[20200410,119541]
[20200409,117070]
[20200408,116046]
[20200407,115346]
[20200403,115802]
[20200402,115950]
[20200401,115854]
[20200331,114057]
[20200330,114959]
[20200327,111665]
[20200326,111776]
[20200325,110116]
[20200324,103591]
[20200323,109735]
[20200320,101317]
[20200319,112554]
[20200318,119270]
[20200317,121903]
[20200316,124387]
[20200313,127911]
[20200312,130072]
[20200311,130049]
[20200310,128035]
[20200309,130002]
[20200306,131113]
[20200305,130968]
[20200304,130256]
[20200303,129366]
[20200302,127676]
[20200228,130618]
[20200227,130525]
[20200226,131073]
[20200225,131453]
[20200224,131117]
[20200221,130259]
[20200220,130420]
[20200219,129904]
[20200218,130494]
[20200217,129064]
[20200214,128957]
[20200213,128624]
[20200212,129195]
[20200211,128708]
[20200210,128382]
[20200207,128077]
[20200206,126847]
[20200205,127127]
[20200204,126163]
[20200203,131683]
[20200123,134281]
[20200122,134260]
[20200121,134260]
[20200120,134850]
[20200117,133925]
[20200116,134423]
[20200115,132859]
[20200114,132339]
[20200113,131808]
[20200110,131995]
[20200109,130987]
[20200108,130017]
[20200107,128964]
[20200106,129977]
[20200103,129679]
[20200102,129783]
[20191231,129108]
[20191230,131703]
[20191227,132229]
[20191226,132543]
[20191225,133567]
[20191224,134828]
[20191223,135173]
[20191220,135017]
[20191219,135163]
[20191218,134142]
[20191217,133543]
[20191216,133271]
[20191213,134162]
[20191212,134949]
[20191211,134472]
[20191210,134271]
[20191209,133321]
[20191206,132622]
[20191205,132432]
[20191204,132529]
[20191203,132788]
[20191202,132108]
[20191129,132079]
[20191128,132065]
[20191127,132162]
[20191126,132367]
[20191125,132651]
[20191122,132212]
[20191121,130278]
[20191120,128667]
[20191119,129200]
[20191118,128687]
[20191115,128605]
[20191114,128279]
[20191113,129944]
[20191112,131011]
[20191111,131058]
[20191108,130496]
[20191107,130436]
[20191106,130517]
[20191105,130506]
[20191104,130735]
[20191101,131775]
[20191031,132251]
[20191030,131997]
[20191029,132440]
[20191028,132079]
[20191025,131747]
[20191024,131898]
[20191023,131602]
[20191022,131495]
[20191021,133885]
[20191018,133007]
[20191017,132166]
[20191016,131016]
[20191015,130686]
[20191014,129844]
[20191011,130092]
[20191010,130344]
[20191009,129291]
[20191008,128258]
[20190930,129198]
[20190927,129449]
[20190926,129665]
[20190925,130036]
[20190924,130792]
[20190923,130800]
[20190920,130723]
[20190919,130690]
[20190918,130210]
[20190917,130602]
[20190916,134669]
[20190912,133322]
[20190911,134038]
[20190910,132377]
[20190909,133326]
[20190906,135972]
[20190905,134814]
[20190904,132126]
[20190903,128606]
[20190902,127685]
[20190830,124421]
[20190829,123002]
[20190828,121828]
[20190827,122571]
[20190826,123565]
[20190823,125104]
[20190822,125488]
[20190821,125171]
[20190820,124192]
[20190819,126576]
[20190816,128201]
[20190815,128696]
[20190814,128438]
[20190813,128508]
[20190812,129315]
[20190809,129783]
[20190808,130778]
[20190807,128833]
[20190806,128540]
[20190805,129175]
[20190802,128825]
[20190801,128867]
[20190731,128717]
[20190730,128975]
[20190729,129624]
[20190726,129278]
[20190725,129162]
[20190724,129011]
[20190723,128672]
[20190722,129345]
[20190719,129700]
[20190718,129652]
[20190717,129182]
[20190716,128631]
[20190715,129014]
[20190712,128824]
[20190711,130772]
[20190710,130770]
[20190709,131002]
[20190708,129854]
[20190705,127951]
[20190704,127982]
[20190703,129238]
[20190702,136191]
[20190701,137023]
[20190628,137599]
[20190627,137416]
[20190626,138013]
[20190625,137507]
[20190624,138184]
[20190621,138017]
[20190620,138260]
[20190619,138046]
[20190618,138278]
[20190617,138802]
[20190614,139390]
[20190613,139187]
[20190612,139021]
[20190611,138932]
[20190610,137750]
[20190606,137284]
[20190605,137340]
[20190604,137253]
[20190603,137365]
[20190531,137389]
[20190530,139112]
[20190529,139974]
[20190528,139671]
[20190527,138926]
[20190524,138361]
[20190523,138549]
[20190522,138984]
[20190521,139412]
[20190520,139201]
[20190517,140440]
[20190516,140030]
[20190515,139214]
[20190514,139604]
[20190513,140145]
[20190510,139840]
[20190509,140882]
[20190508,141145]
[20190507,141849]
[20190506,142356]
[20190430,141754]
[20190429,141131]
[20190426,140841]
[20190425,141546]
[20190424,141828]
[20190423,141638]
[20190422,142356]
[20190419,141858]
[20190418,142246]
[20190417,142607]
[20190416,143490]
[20190415,143190]
[20190412,142933]
[20190411,143604]
[20190410,143960]
[20190409,144502]
[20190408,144237]
[20190404,144769]
[20190403,144831]
[20190402,144323]
[20190401,144244]
[20190329,143468]
[20190328,142422]
[20190327,142870]
[20190326,142902]
[20190325,143604]
[20190322,143964]
[20190321,143953]
[20190320,143225]
[20190319,142333]
[20190318,143183]
[20190315,143440]
[20190314,143207]
[20190313,143133]
[20190312,142983]
[20190311,143203]
[20190308,144374]
[20190307,144338]
[20190306,145301]
[20190305,146054]
[20190304,146733]
[20190301,146272]
[20190228,146042]
[20190227,147177]
[20190226,148280]
[20190225,147089]
[20190222,146116]
[20190221,146148]
[20190220,146419]
[20190219,145754]
[20190218,144551]
[20190215,144351]
[20190214,143860]
[20190213,145505]
[20190212,146248]
[20190211,145395]
[20190201,143929]
[20190131,144417]
[20190130,143890]
[20190129,143671]
[20190128,144751]
[20190125,143963]
[20190124,143547]
[20190123,143631]
[20190122,144616]
[20190121,143728]
[20190118,143747]
[20190117,144586]
[20190116,144645]
[20190115,144151]
[20190114,143652]
[20190111,142756]
[20190110,142708]
[20190109,141881]
[20190108,141417]
[20190107,140446]
[20190104,140233]
[20190103,140411]
[20190102,139345]
[20181228,140232]
[20181227,140800]
[20181226,140722]
[20181225,142293]
[20181224,142775]
[20181221,142105]
[20181220,142435]
[20181219,142026]
[20181218,142722]
[20181217,142214]
[20181214,142511]
[20181213,142042]
[20181212,142057]
[20181211,142069]
[20181210,142458]
[20181207,142271]
[20181206,142832]
[20181205,142857]
[20181204,142043]
[20181203,142018]
[20181130,141156]
[20181129,141433]
[20181128,142187]
[20181127,143115]
[20181126,143742]
[20181123,146091]
[20181122,147827]
[20181121,149757]
[20181120,150902]
[20181119,150646]
