[20210830,22504]
[20210827,22506]
[20210826,22581]
[20210825,22367]
[20210824,22225]
[20210823,22466]
[20210820,22534]
[20210819,22623]
[20210818,22913]
[20210817,22519]
[20210816,22378]
[20210813,22779]
[20210812,22550]
[20210811,22451]
[20210810,22469]
[20210809,22567]
[20210806,22256]
[20210805,22060]
[20210804,22131]
[20210803,22559]
[20210802,22464]
[20210730,22403]
[20210729,22228]
[20210728,22360]
[20210727,22468]
[20210726,22278]
[20210723,22211]
[20210722,22150]
[20210721,22526]
[20210720,22605]
[20210719,22440]
[20210716,22305]
[20210715,22024]
[20210714,21981]
[20210713,22165]
[20210712,22398]
[20210709,22211]
[20210708,22340]
[20210707,22277]
[20210706,22209]
[20210705,22013]
[20210702,22157]
[20210701,21981]
[20210630,21903]
[20210629,21757]
[20210628,21748]
[20210625,21716]
[20210624,21789]
[20210623,21740]
[20210622,21550]
[20210621,21906]
[20210618,22607]
[20210617,22494]
[20210616,22518]
[20210615,22680]
[20210611,22572]
[20210610,22632]
[20210609,22521]
[20210608,22451]
[20210607,22482]
[20210604,22857]
[20210603,23097]
[20210602,23076]
[20210601,22855]
[20210531,22989]
[20210528,22850]
[20210527,22444]
[20210526,22187]
[20210525,22144]
[20210524,22373]
[20210521,22534]
[20210520,22708]
[20210519,23111]
[20210518,22862]
[20210517,22179]
[20210514,22085]
[20210513,22454]
[20210512,22459]
[20210511,22748]
[20210510,22580]
[20210507,22102]
[20210506,21858]
[20210430,22176]
[20210429,22153]
[20210428,22254]
[20210427,22033]
[20210426,21595]
[20210423,21295]
[20210422,21396]
[20210421,21691]
[20210420,21880]
[20210419,21820]
[20210416,21793]
[20210415,21271]
[20210414,21292]
[20210413,21473]
[20210412,21827]
[20210409,22024]
[20210408,21926]
[20210407,21712]
[20210406,21668]
[20210402,21335]
[20210401,21507]
[20210331,21774]
[20210330,21758]
[20210329,21664]
[20210326,21482]
[20210325,21560]
[20210324,21787]
[20210323,21879]
[20210322,21765]
[20210319,21321]
[20210318,21561]
[20210317,21515]
[20210316,21723]
[20210315,21732]
[20210312,21786]
[20210311,21411]
[20210310,21243]
[20210309,21250]
[20210308,21273]
[20210305,20856]
[20210304,21582]
[20210303,21519]
[20210302,21237]
[20210301,21368]
[20210226,21457]
[20210225,21151]
[20210224,21678]
[20210223,21825]
[20210222,21704]
[20210219,21222]
[20210218,20598]
[20210210,20130]
[20210209,19910]
[20210208,19924]
[20210205,19856]
[20210204,19534]
[20210203,19363]
[20210202,19499]
[20210201,19407]
[20210129,19363]
[20210128,19615]
[20210127,19852]
[20210126,20276]
[20210125,20053]
[20210122,20409]
[20210121,20359]
[20210120,20139]
[20210119,20277]
[20210118,20107]
[20210115,20414]
[20210114,20583]
[20210113,20722]
[20210112,20859]
[20210111,21462]
[20210108,21570]
[20210107,21280]
[20210106,21168]
[20210105,20747]
[20210104,20529]
[20201231,20752]
[20201230,20857]
[20201229,21301]
[20201228,21648]
[20201225,21408]
[20201224,21214]
[20201223,21334]
[20201222,21981]
[20201221,21986]
[20201218,21834]
[20201217,21635]
[20201216,21267]
[20201215,21213]
[20201214,21331]
[20201211,21539]
[20201210,21274]
[20201209,21211]
[20201208,20999]
[20201207,20892]
[20201204,20842]
[20201203,20975]
[20201202,21130]
[20201201,21343]
